lang_code,lang_name,page,korean,foreign_translation,pronunciation
01,영어 (English),14,설날에는 떡국을 먹습니다.,We eat rice cake soup (Ddeok-guk) during the New Year Day,위 잍 롸이스 케잌 숩(떡-국) 듀링 더 뉴 이얼 데이
01,영어 (English),14,양력,Solar Calendar,쏠럴 캘린덜
01,영어 (English),14,어떠한 언어를 사용하시나요?,What kind of language are you using?,왓 카인 어브 랭귀지 아 유 유징?
01,영어 (English),14,우리는 각 나라의 개인의 종교를 다 존중해요.,We respect the individual religion in every country.,위 뤼스펙트 더 인디비줠 뤼젼 인 애브리 컨트리
01,영어 (English),14,음력,Lunar Calendar,루널 캘린덜
01,영어 (English),14,음력 8월 15일은 추석입니다.,15th of August is the Chuseok (Lunar Calendar),피프틴쓰  어브 어거스트 이즈 더 추석(루널 캘린덜)
01,영어 (English),15,이슬람교,Islam,이슬람
01,영어 (English),15,이슬람교도입니까 ?,Are you an Islam?,아 유 언 이슬람?
01,영어 (English),15,조상들께 제사도 지냅니다.,We also helding a memorial ceremony to our ancestors.,위 올쏘 헬딩 어 메모리얼 쎄르모니 투 아월 앤쎄스털ㅈ
01,영어 (English),15,종교가 무엇입니까?,What is your religion?,왓 이즈 유얼 륄리젼?
01,영어 (English),15,추석,Chuseok / Korean Thanksgiving Day,추석/ 코리언 땡스기빙 데이
01,영어 (English),15,추석에는 송편을 먹습니다.,We eat rice cake during Chuseok.,위 잍 롸이스 케잌 듀링 추석
01,영어 (English),15,카톨릭,Catholic,캐톨릭
01,영어 (English),15,한국사람은 손가락질 하는 것을 싫어합니다.,The Koreans dislike pointing fingers.,더 코리언즈 디스라잌 포인팅 핑컬스
01,영어 (English),15,한국에 대해서 어떤 생각을 가지고 있나요?,What do you think about Korea?,왓 두 유 띵크 어바웉 코리아?
01,영어 (English),15,문화,안녕하세요,
01,영어 (English),16,119는 응급할때 전화 하세요,Call 119 when emergency occured.,콜 원원나인 웬 이멀젼씨 어큐얼드
01,영어 (English),16,가슴이 아프세요?,Is your chest painful?,이즈 유얼 췌스트 페인풀?
01,영어 (English),16,가장 가까운 병원은 ㅇㅇ병원입니다.,The nearest hospital is _________ Hospital.,더 니얼리스트 하스피털 이즈 ______하스피털
01,영어 (English),16,감기에 걸렸어요?,Did you catch cold?,디 쥬 캣치 콜드?
01,영어 (English),16,감기에 걸리지 않도록 조심하세요.,Be careful not to be catch by cold.,비 케어풀 낱 투 비 캣취 바이 콜드
01,영어 (English),16,개인위생을 철저히 해야 아프지 않습니다.,"If you have a thorough self sanitation, you will not get sick.","이프 유 해브 어 뜨로우 셀프 쎄너테이션, 유 윌 낱 겥 앀"
01,영어 (English),16,건강검진,Medical examination,메디컬 이그재미네이션
01,영어 (English),16,건강은 좀 어떠세요?,How is your health condition?,하우 이즈 유얼 핼쓰 컨디션?
01,영어 (English),16,건강을 생각하세요,Think about your health.,띵크 어바웃 유얼 헬쓰
01,영어 (English),16,건강이 무엇보다도 중요해요,The health is more important than anything.,더 핼쓰 이즈 모어 임폴턴ㅌ 댄 애니띵
01,영어 (English),17,과로입니다,It is over fatigue.,잍 이즈 오벌 퍼티그
01,영어 (English),17,규칙적으로 운동을 하세요,Do an exercise regulary,두 언 엑설싸이즈 뤠귤러리
01,영어 (English),17,기침을 하세요?,Do you have cough?,두 유 해브 커프?
01,영어 (English),17,내과,Internal Medicine,인터널 메디슨
01,영어 (English),17,다친 부위가 어디세요?,Which part is injured?,위치 팔트 이즈 인줠드?
01,영어 (English),17,담배를 많이 피우면 건강에 해롭고  돈을 모을수 없습니다.,Smoking much makes your health bad,스모킹 머취 메잌스 유얼 핼쓰 배드
01,영어 (English),17,당신을 병원에 데려가겠습니다.,I will take you to the hospital.,아이 윌 테이크 유 투 더 하스피털
01,영어 (English),17,등이 아프세요?,Is your back painful?,이즈 유얼 백 페인풀?
01,영어 (English),17,머리가  아프세요?,Do you have headache?,두 유 해브 헤데잌?
01,영어 (English),17,머리가 아플때는 두통약을 먹어요,Take medicine when you have headache.,테잌 메디슨 웬 유 해브 헤데잌
01,영어 (English),18,목이 부었나요?,Is your throat swollen?,이즈 유얼 뜨로웉 스올른?
01,영어 (English),18,몸살에 걸렸나요 ?,Did you catch a general fatigue?,디 쥬 캩취 어 제네럴 퍼티그?
01,영어 (English),18,무릎이 아프세요?,Are your knees painful?,아 유얼 니-스 페인풀?
01,영어 (English),18,무리하지 마세요,Don't overdo it.,돈 오벌두 잍
01,영어 (English),18,발가락이 아프세요?,Are your foot fingers painful?,아 유얼 풑 핑걸스 페인풀?
01,영어 (English),18,발이 아프세요?,Do your foot painful?,두 유얼 풑 페인풀?
01,영어 (English),18,밤에 아플때는 000로 연락하세요,Call this number ________ when you got sick at night.,콜 디스 넘벌______웬 유 같 앀 엩 나잍
01,영어 (English),18,배가  아프세요?,Do you have stomachache?,두 유 해브 스터막에잌?
01,영어 (English),18,병원에 가야 할 시간입니다.,It is time to go to the hospital.,잍 이즈 타임 투 고 투 더 하스피털
01,영어 (English),18,병원에 같이가서 치료해 드릴께요,Let's go to the hospital to get a treatment.,렛츠 고 투 더 하스피털 투 겥 어 트릿먼트
01,영어 (English),19,비상약은 사무실에 있습니다.,The first aid is in the office.,더 펄스트 애이드 이즈 인 더 어피스
01,영어 (English),19,산부인과,Obstetrics and Gynecology,업스테륔스 앤 가이니컬러지
01,영어 (English),19,소화가  안되세요?,Do you have digestion trouble?,두 유 해브 다이제스쳔 트러블?
01,영어 (English),19,손가락이 아프세요?,Do your fingers are painful?,두 유얼 핑걸스 아 페인풀?
01,영어 (English),19,손목을 삐었나요?,Is your wrist sprained?,이즈 유얼 뤼스트 스프뤠인드?
01,영어 (English),19,손목이 아프세요?,Does your wrist painful?,더즈 유얼 뤼스트 페인풀?
01,영어 (English),19,손을 깨끗이 씻으세요,Wash your hand very clean,워쉬 유얼 핸드 베리 클린
01,영어 (English),19,수술 동의서가 필요합니다.,We need an operation written consent.,위 니드 언 어퍼뤠이션 뤼튼 컨센트
01,영어 (English),19,수술을 해야할것 같아요,You must undergo an operation.,유 머스트 언덜고 언 어퍼뤠이션
01,영어 (English),19,술을 많이 먹으면 건강에 해롭습니다.,Drinking much alcohol is not good for the health,드링킹 머취 앨커홀 이즈 낱 굳 포 더 핼쓰
01,영어 (English),20,신종플루를 조심하세요,Be careful of A (H1N1),비 케어풀 어브 에이(에이취 원 엔 원)
01,영어 (English),20,아프면 관리자에게 반드시 이야기 하세요,"Once you got sick, tell to the manager immediately.","원쓰 유 같 앀, 텔 투 더 메니절 이미디어ㅌ리"
01,영어 (English),20,아프면 병원에 가세요,Please go to the hospital when you got sick.,플리즈 고 투 더 하스피털 웬 유 같 앀
01,영어 (English),20,안과,Ophthalmology,아프떨말러지
01,영어 (English),20,약 드세요,Take your medicine.,테잌 유얼 메디슨
01,영어 (English),20,약은 시간에 맞추어  복용해야 빨리 낫습니다.,The medicine should be taken on time for fast recovery.,더 메디슨 슈드 비 테이큰 언 타임 포 패스트 뤼커버뤼
01,영어 (English),20,약은 식사후 30분에  물과 함께 꼭 드세요,The medicine should be taken with water after 30 minutes from meals.,더 메디슨 슈드 비 테이큰 위드 워털 애프털 떠리 미닡 프럼 밀ㅈ
01,영어 (English),20,약은 약국에서 사야해요,The medicine should buy in the pharmacy.,더 메디슨 슈드 바이 인 더 팔머시
01,영어 (English),20,어깨가 아프세요?,Does your shoulder is painful?,더즈 유얼 숄덜 이즈 페인풀?
01,영어 (English),20,어디가 아픕니까?,Where is the pain?,웨얼 이즈 더 페인?
01,영어 (English),21,얼굴이 창백해 보이네요,Your face looks pale.,유얼 페이스 룩스 페일
01,영어 (English),21,열이 있나요?,Do you have fever?,두 유 해브 피벌?
01,영어 (English),21,열이나면 푹 쉬어야 해요.,You have to take a rest when you have a fever.,유 해브 투 테이크 어 뤠스트 웬 유 해브 어 피벌
01,영어 (English),21,예방접종을 하세요.,You have to be vaccinate.,유 해브 투 비 백써네잍
01,영어 (English),21,오늘부터 입원하셔야 합니다.,You have to be hospitalized from today.,유 해브 투 비 하스피털라이즈드 프럼 투데이
01,영어 (English),21,오늘부터 통원치료를 받아야 합니다.,Today is the starting day of your treatment.,투데이 이즈 더 스탈팅 데이 어브 유얼 트맅먼트
